Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
Bangsapan-noi Biomass Company Limited Biomass Generation,Biomass,Unknown,8,2009,Thailand,TPC Power Holding PLC,,,, ,Thailand,Prachuap Khiri Khan,Bang Saphan Noi,,
Banteay Meanchey Solar Plant,Solar,Under Construction,30,2022,Thailand,Ray Power Supply Co Ltd.,,,, ,Cambodia,Banteay Meanchey,Preah Netr Preah,,
Battambang 60 MW Solar,Solar,Under Construction,60,2020,China,Risen Energy,Germany; EU; France,Deutsche Investitions- und Entwicklungsgesellschaft, European Investmtn Bank, French Development Agency,, ,Cambodia,,
Bau Ngu Đien mat troi Bau Ngu,Solar,Under Construction,50,2019,Vietnam,Cong ty CP Đau tu xay dung va phat trien Truong Thanh Vietnam,,,, ,Vietnam,Ninh Thuan,Thuan Nam,,
Bau Zon Đien mat troi Bau Zon,Solar,Under Construction,25,2020,Vietnam,Cong ty Co phan Bac Phuong va Cong ty TNHH nang luong mat troi TT.Sunglim Vietnam,Vietnam,Vietcombank Vietnam,, ,Vietnam,Ninh Thuan,Ninh Phuoc,,
Bavet City Solar PV Plant,Solar,Operational,10,2017,Singapore; Cambodia,Sunseap Asset Cambodia Co Ltd, majority-owned subsidiary of Sunseap Group Singapore,ADB,ADB,, ,Cambodia,Svay Rieng,,
Bawgata,Hydro,Planned,160,2020,Myanmar,Thoolei Co Myanmar,,,Myanmar,Thoolei Myanmar,Myanmar,Bago,Taungoo,,
BCG Bang Duong Nha may dien mat troi Bang Duong,Solar,Planned,40.6,2019,Vietnam,Bamboo Capital Group BCG Tap doan Bamboo Capital and Bang Duong Construction Co Ltd. Cong ty TNHH Xay dung Bang Duong - EPC, through BCG Bang Duong JSC,Vietnam,Tien Phong Bank,Vietnam; Germany,TRACODI Cong Ty co phan Đau tu Phat trien Cong Nghiep va Van tai, Syntegra Solar Germany Design consultant and supervisory consultant,Vietnam,,
Belin,Hydro,Planned,280,2021,Myanmar,Ministry of Electricity & Energy,,,Myanmar,Ministry of Electricity & Energy,Myanmar,Mon,Thaton,,
Ben Tre Nexif stage 1,2, 3 nha may Đien Gio Ben Tre Nexif Energy,Wind,Under Construction,80,2020,Singapore,Nexif Energy Singapore,,,, ,Vietnam,,
Bhumibol Dam,Hydro,Operational,779,1964,Thailand,EGAT Thailand,,,Thailand,Yanhee Electricity Authority,Thailand,Tak,Sam Ngao,,
BIA Co Lted.,Waste,Unknown,1.4,,Cambodia,Soma Energy,,,,,Cambodia,Battambang,Kamrieng,,
Big C roof-top solar,Solar,Under Construction,16,2019,Japan,Sharp Corp Japan,,,, ,Thailand,Nakhon Ratchasima,Muang Nakhon Ratchasima,,
BIM 1 Nha may dien mat troi BIM 1,Solar,Operational,30,2019,Vietnam; Philippines,CT Nang Luong BIM Energy, Tap Đoan BIM Group, AC Energy subsidiary o Ayala Group Philippines,Philippines; Vietnam,Rizal Commercial Banking, BIM Group, AC Energy,France; Germany,,
BIM 2 Nha may dien mat troi BIM 2,Solar,Operational,250,2019,Vietnam; Philippines,CT Nang Luong BIM Energy, Tap Đoan BIM Group, AC Energy subsidiary o Ayala Group Philippines,Philippines; Vietnam,Rizal Commercial Banking, BIM Group, AC Energy,France,,
BIM 3 Nha may dien mat troi BIM 3,Solar,Operational,50,2019,Vietnam; Philippines,CT Nang Luong BIM Energy, Tap Đoan BIM Group, AC Energy subsidiary o Ayala Group Philippines,Philippines; Vietnam,Rizal Commercial Banking, BIM Group, AC Energy,France; Germany,,
Binh An Nha may dien mat troi Binh An 58.88 ha - completed in 3 stages,Solar,Operational,50,2019,Vietnam,CT TNHH Nang Luong Everich Binh Thuan,,,, ,Vietnam,Binh Thuan,Bac Binh,,
Binh Dai 1 Nha may dien gio Binh Đai giai doan 1,Wind,Under Construction,30,2017,,Mekong Wind Power JSC, a TTC Affiliate Vietnam,,,, ,Vietnam,Ben Tre,,
Binh Dai 2 Nha may dien gio Binh Đai giai doan 2,Wind,Planned,280,2020,,Mekong Wind Power JSC, a TTC Affiliate,,,, ,Vietnam,Ben Tre,,
Binh Dien,Hydro,Operational,44,2009,Vietnam,EVN Vietnam; Binh Dien Hydropower JSC,,,, ,Vietnam,Thua Thien Hue,Huong Tra,,
